epoch,runtime
0,47.82523584365845
1,45.791553258895874
2,45.83732891082764
3,45.99632477760315
4,46.194719076156616
5,45.84505653381348
6,45.85552906990051
7,45.89822006225586
8,45.93635582923889
9,45.934245109558105
10,46.38579726219177
11,46.12319803237915
12,46.00832724571228
13,46.06081748008728
14,45.986533641815186
15,45.80757761001587
16,45.82864451408386
17,45.882131576538086
18,45.880974769592285
19,46.0213828086853
20,45.77028560638428
21,45.87737727165222
22,45.7783899307251
23,45.830121755599976
24,45.93733525276184
25,45.838310956954956
26,45.95791053771973
27,45.850006341934204
28,45.957950830459595
29,45.64398813247681
